epoch,acc,loss,val_acc,val_loss
0,0.38761061946902653,1.821642980936505,0.5684575389948007,1.414285820939512
1,0.5370382065045785,1.416767442467313,0.6204506065857885,1.2326303294874352
2,0.5654867256637168,1.2933109323620118,0.6169844020797227,1.1995097095053158
3,0.5790139064475348,1.2463649500090765,0.6239168110918544,1.1461649969917442
4,0.5945006321112516,1.197560870773942,0.6187175043327556,1.1420772563233532
5,0.600947268708557,1.182389627261082,0.6239168110918544,1.1232687805099753
6,0.6035398230088496,1.1696801318945986,0.6377816291161178,1.1099549197241587
7,0.60897597977244,1.1437831069019007,0.6360485268630849,1.097266130265578
8,0.6096713021491783,1.1447996328885086,0.6325823223570191,1.09196467271504
9,0.6122629582806574,1.133742290009025,0.658578856152513,1.0882071091356063
10,0.6156763590391909,1.1175117304646953,0.6603119584055459,1.0672513194885782
11,0.6190716766656141,1.110292014210974,0.6551126516464472,1.0792919283723088
12,0.6195954487989886,1.1159250154576303,0.6620450606585788,1.079837570777179
13,0.6228824273072061,1.1032058006397998,0.6429809358752167,1.091972798160705
14,0.6297724399494311,1.0849538908468372,0.6533795493934142,1.0803124053432789
15,0.6267761288285444,1.0933672721270398,0.6533795493934142,1.078648652319685
16,0.6290139064475347,1.081544999157546,0.6447140381282496,1.081699566783277
17,0.6290139064475347,1.0783767327373626,0.6464471403812825,1.0803621618958446
18,0.6278497000315756,1.0836382197407943,0.6464471403812825,1.0795774106549638
19,0.6323315406516925,1.0735919502180462,0.6464471403812825,1.0781238002628346
