               precision    recall  f1-score   support

            duck       0.33      0.05      0.09        19
           sword       0.28      0.58      0.38        12
             cow       0.20      0.50      0.29        12
         pumpkin       1.00      0.59      0.74        17
            face       0.57      0.36      0.44        11
         octopus       0.86      0.76      0.81        25
           donut       0.71      0.79      0.75        19
             sun       0.83      0.71      0.77        21
           brain       0.61      0.44      0.51        25
         syringe       0.41      0.89      0.56        18
           pizza       0.45      0.45      0.45        20
      helicopter       0.50      0.64      0.56        14
        windmill       0.71      0.77      0.74        13
        trousers       1.00      0.94      0.97        17
          tomato       0.71      0.88      0.79        17
             eye       0.75      0.75      0.75        16
        keyboard       0.64      0.70      0.67        10
 hot_air_balloon       0.86      0.63      0.73        19
        airplane       0.32      0.73      0.45        15
            shoe       0.71      0.26      0.38        19
           sheep       0.75      0.25      0.38        12
       wineglass       0.68      1.00      0.81        19
   flying_saucer       0.25      0.25      0.25        12

           knife       0.15      0.14      0.15        14
           
          carrot       0.40      0.56      0.47        18
           snake       0.57      0.62      0.59        21
        hedgehog       0.33      0.47      0.39        15
     flying_bird       0.24      0.47      0.32        15
           cloud       0.78      0.67      0.72        21
      skyscraper       0.73      0.42      0.53        19
           crown       0.71      0.60      0.65        20
         rooster       0.41      0.60      0.49        15
            bell       0.25      0.50      0.33         6
       bookshelf       0.64      0.64      0.64        11
            crab       0.27      0.59      0.37        17
        scissors       0.77      0.59      0.67        17
          rabbit       0.29      0.42      0.34        12
      calculator       0.82      0.78      0.80        18
          castle       0.91      0.53      0.67        19
       tablelamp       0.45      0.36      0.40        14
            tree       0.90      0.60      0.72        15
            fork       0.91      0.53      0.67        19
            bowl       0.40      0.93      0.56        15
         rainbow       0.67      0.92      0.77        13
           zebra       1.00      0.17      0.29        18
           spoon       0.71      0.62      0.67        16
      microphone       0.25      0.43      0.32        14
       hourglass       0.75      0.75      0.75        12
   walkie_talkie       0.89      0.38      0.53        21
    power_outlet       0.70      0.47      0.56        15
           bench       0.32      0.58      0.41        12
           skull       0.75      0.17      0.27        18
        trombone       0.50      0.40      0.44        15
            nose       0.69      1.00      0.82         9
  person_sitting       0.47      0.82      0.60        11
     wine-bottle       0.86      1.00      0.92        18
          grapes       0.83      0.77      0.80        26
         tractor       1.00      0.29      0.44        14
         lighter       0.31      0.62      0.42         8
           panda       0.23      0.36      0.28        14
         snowman       0.82      0.78      0.80        18
    potted_plant       0.44      0.73      0.55        15
            ipod       0.56      0.56      0.56        16
      eyeglasses       1.00      0.90      0.95        21
pipe_for_smoking       0.70      0.88      0.78        16
     head-phones       0.81      0.62      0.70        21
             pig       0.58      0.33      0.42        21
             arm       0.23      0.62      0.33        13
         mermaid       0.21      0.62      0.31        16
        squirrel       0.46      0.38      0.41        16
           tooth       0.89      0.47      0.62        17
           piano       0.71      0.29      0.42        17
        beer-mug       0.85      0.73      0.79        15
     loudspeaker       0.50      0.15      0.24        13
      skateboard       0.29      0.17      0.21        12
             owl       0.55      0.30      0.39        20
          toilet       1.00      0.38      0.56        13
         stapler       0.57      0.89      0.70        18
           purse       0.50      0.33      0.40        12
        envelope       1.00      0.82      0.90        22
        sailboat       0.57      0.80      0.67        15
             mug       0.64      0.70      0.67        20
           blimp       0.20      0.67      0.31         9
     streetlight       0.60      0.50      0.55        12
            pear       0.73      0.80      0.76        10
          banana       0.47      0.50      0.48        16
         feather       0.35      0.65      0.46        17
    pickup_truck       0.89      0.47      0.62        17
          cactus       0.70      0.64      0.67        22
      microscope       0.40      0.57      0.47        14
       megaphone       0.67      0.35      0.46        17
   tennis-racket       0.88      0.94      0.91        16
           snail       0.73      0.69      0.71        16
            hand       0.76      0.80      0.78        20
          church       0.41      0.50      0.45        14
         grenade       0.75      0.60      0.67        15
           horse       0.70      0.44      0.54        16
   traffic_light       0.73      0.44      0.55        18
computer_monitor       0.68      0.72      0.70        18
        mosquito       0.30      0.38      0.33        21
           canoe       0.26      0.38      0.31        24
         hot-dog       0.58      0.47      0.52        15
       palm_tree       0.87      0.54      0.67        24
         bicycle       0.75      0.56      0.64        16
      speed-boat       0.27      0.47      0.34        15
            tent       0.71      0.52      0.60        23
          parrot       0.37      0.35      0.36        20
            swan       0.38      0.47      0.42        19
