epoch,accuracy,loss,val_accuracy,val_loss
0,0.6875,0.967691570520401,0.6026490330696106,1.1214368080198107
1,0.6238245,1.0342088093204558,0.6048564910888672,1.104025159187401
2,0.634375,1.0047259241342545,0.6247240900993347,1.1062714594352587
3,0.63125,0.9995834648609161,0.6136865615844727,1.0770290476860063
4,0.66875,0.9797761052846908,0.620309054851532,1.0630531768925142
5,0.703125,0.9537775218486786,0.6092715263366699,1.1105549285480254
6,0.6865204,0.913022004137966,0.6357616186141968,1.0556839812407168
7,0.6677116,0.9237886809256384,0.6136865615844727,1.0857449748921342
8,0.678125,0.934765848517418,0.6401765942573547,1.0472368194041137
9,0.653125,0.9574397802352905,0.6357616186141968,1.0501297278120028
10,0.690625,0.8794309765100479,0.6423841118812561,1.045361375966609
11,0.709375,0.8491911739110947,0.6445916295051575,1.0977078344648248
12,0.68025076,0.8820655379549462,0.6048564910888672,1.0795427702910063
13,0.6875,0.8646519511938096,0.6070640087127686,1.10080838703425
14,0.6739812,0.9068204495226702,0.6379690766334534,1.0252161954938708
15,0.715625,0.8306381136178971,0.6467990875244141,1.0143611846906986
16,0.734375,0.8345261722803116,0.6423841118812561,1.0055417990842401
17,0.7375,0.871901398897171,0.6534216403961182,1.0106374770073965
18,0.73040754,0.8526880998970199,0.6467990875244141,1.0164194504419963
19,0.775,0.7431930094957352,0.6445916295051575,1.0104877892182627
20,0.7680251,0.7531687355714158,0.6490066051483154,1.0109824752702354
21,0.71875,0.8210730373859405,0.6467990875244141,1.0116881690014803
22,0.7125,0.8362292230129242,0.6467990875244141,1.0109210297235063
23,0.728125,0.8329248517751694,0.6467990875244141,1.0107990545415984
24,0.746875,0.7801266193389893,0.6467990875244141,1.0107880751818221
25,0.73125,0.8050662457942963,0.6467990875244141,1.010757497735897
26,0.7201258,0.8305826397062098,0.6467990875244141,1.0107635660282035
27,0.6875,0.8515997529029846,0.6467990875244141,1.0107712166725142
28,0.753125,0.7744508743286133,0.6467990875244141,1.010773020732745
29,0.73125,0.7621049523353577,0.6467990875244141,1.0107722336356477
30,0.734375,0.7648345097899437,0.6467990875244141,1.0107716379839327
31,0.73040754,0.7936113616889547,0.6467990875244141,1.010771462722593
32,0.709375,0.852924507856369,0.6467990875244141,1.010771445091197
33,0.7492163,0.7814421502400342,0.6467990875244141,1.0107714408807145
34,0.721875,0.8264676406979561,0.6467990875244141,1.010771445091197
35,0.715625,0.8413067534565926,0.6467990875244141,1.0107714471964384
36,0.73125,0.8394457966089248,0.6467990875244141,1.0107714471964384
37,0.74608153,0.8038874352613586,0.6467990875244141,1.0107714471964384
38,0.7625,0.7340041130781174,0.6467990875244141,1.0107714471964384
39,0.753125,0.787229385972023,0.6467990875244141,1.0107714471964384
40,0.71473354,0.8174488813525831,0.6467990875244141,1.0107714471964384
41,0.75,0.7280708730220795,0.6467990875244141,1.0107714471964384
42,0.725,0.8274073213338852,0.6467990875244141,1.0107714471964384
43,0.725,0.8273248627781868,0.6467990875244141,1.0107714471964384
44,0.7375,0.7598203167319297,0.6467990875244141,1.0107714471964384
45,0.72727275,0.8292609703578172,0.6467990875244141,1.0107714471964384
46,0.7053292,0.8066569250952861,0.6467990875244141,1.0107714471964384
47,0.71875,0.8167063891887665,0.6467990875244141,1.0107714471964384
48,0.71875,0.8161905437707901,0.6467990875244141,1.0107714471964384
49,0.74608153,0.7780339295587569,0.6467990875244141,1.0107714471964384
